Name ,Health Score,Original Nation,Protein(g),Fat(g),carbohydrates(g),Carlore(kj),Sodium(mg),Category
apple_pie,0.4,Western_Country,2.4,13.6,34,1070,264,0
baby_back_ribs,0.4,America,23,20,5,1213,610,1
baklava,0.1,Middle east,5,20,60,1360,275,0
beef_carpaccio,0.9,Italy,22.1,7.1,0,667.5,57.5,1
beef_tartare,0.7,France,17.8,14.56,0,880,120,0
beet_salad,0.7,Italy,1.6,3,11,334,0,0
beignets,0.6,France,3,8,21,669,270,1
bibimbap,0.5,Korea,7.5,6.5,50,850,400,1
bread_pudding,0.4,England,6,11,22,1758,105,0
breakfast_burrito,0.4,Mexico,11.3,9.9,22.5,850,457.75,1
bruschetta,0.4,Italy,0,9.7,6.5,480,274.2,0
caesar_salad,0.8,Italy,6.4,7.6,7,510,420.6,0
cannoli,0.3,Italy,8,5,44,1050,65,1
caprese_salad,0.7,Italy,3.8,10,3.8,416,176,0
carrot_cake,0.7,France,5,9.8,80,1800,568,0
ceviche,0.8,Spain,22,3,2,600,350,1
cheesecake,0.3,Greece,8,30,74,2469,306,0
cheese_plate,0.3,Italy,19.8,17.2,1.4,980,1580,0
chicken_curry,0.6,India,5.8,3.2,17.4,540,266,0
chicken_quesadilla,0.6,Mexico,6,8,9,544,250,1
chicken_wings,0.7,United States,20.4,17.4,0,925,83.7,0
chocolate_cake,0.4,Netherlands,6,15.6,73,1790,825,0
chocolate_mousse,0.4,France,4.2,16,16,938,38,0
churros,0.3,Spain,10,33,46,2250,540,0
clam_chowder,0.6,England,6,2.8,16,230,417,0
club_sandwich,0.3,United States,5.05,1.2,12.1,323,196.35,1
crab_cakes,0.1,United States,14.4,35.6,50,2418,0,0
creme_brulee,0.2,France,7.2,36.4,34.6,2134,90,0
croque_madame,0.1,France,20.1,27.15,13.75,1598.5,1005.3,1
cup_cakes,0.3,United States,8,43.2,102.4,3482,464,0
deviled_eggs,0.6,Italy,19.2,32,6.4,1874,449,0
donuts,0.3,United States,6,34,88,2846,680,0
dumplings,0.3,China,7.15,5.95,23.8,749,452,1
edamame,1,Japan,13,5.8,8.2,544,0,0
eggs_benedict,0.1,United States,12.5,13.5,10,1250,500,1
escargots,0.9,France,20,2,2,418,300,0
falafel,0.5,United States,5.45,10.9,16.35,759.5,363.5,1
