SA2,HealthStar,Protein,Fat,Carb,Calorie,Sodium,Quantity
Brunswick,0.42,8.64,15.75,31.39,1274.55,490.53,941
Moonee Ponds,0.43,9.01,15.18,29.23,1249.51,506.18,283
Elsternwick,0.43,8.52,14.62,29.32,1200.49,441.67,311
St Kilda East,0.44,9.27,16.2,29.08,1317.74,529.57,421
Fitzroy,0.44,8.72,14.74,92.14,1210.3,505.6,1905
Malvern East,0.41,8.26,15.22,31.75,1261.39,472.27,1706
Hawthorn East,0.42,9.1,14.58,27.4,1195.75,468.35,690
Ormond - Glen Huntly,0.42,8.1,16.86,36.8,1420.74,481.54,214
Camberwell,0.47,9.32,14.76,25.8,1200.49,445.12,946.8333333333334
Carlton North - Princes Hill,0.46,8.34,13.98,28.63,1186.6,459.87,207
Kensington (Vic.),0.44,9.61,15.51,30.76,1294.14,516.12,123
Hampton,0.4,8.67,16.0,33.23,1316.43,511.89,432
Hughesdale,0.46,8.05,14.59,29.72,1185.58,353.81,132
St Kilda,0.43,9.29,14.56,27.52,1185.46,515.16,1204
Melbourne,0.43,8.67,15.22,30.2,1249.52,491.95,8359
Pascoe Vale South,0.41,7.37,11.74,24.75,969.28,443.47,37
Malvern - Glen Iris,0.43,8.24,15.22,29.54,1240.57,477.17,649
Brighton (Vic.),0.45,8.62,15.0,28.05,1227.18,446.34,782.3333333333333
Caulfield - North,0.41,8.31,14.61,32.23,1224.85,503.26,382
Coburg,0.46,8.58,14.13,29.62,1189.25,437.88,193
Ascot Vale,0.39,7.89,16.37,33.64,1397.15,485.93,109
Cheltenham - Highett (West),0.43,8.22,14.98,29.9,1239.53,439.69,296
Beaumaris,0.39,7.96,16.67,34.13,1374.56,473.43,255
Burwood,0.42,9.17,16.25,31.68,1291.44,483.19,231
Fitzroy North,0.42,8.85,15.17,28.08,1225.69,469.48,294
Cheltenham - Highett (East),0.43,8.53,15.74,30.88,1265.27,472.58,480
Thornbury,0.4,8.62,16.06,31.19,1274.15,494.62,245
Moorabbin - Heatherton,0.43,8.87,14.99,28.65,1198.72,485.51,390
Kew East,0.43,8.26,16.81,32.58,1371.47,458.7,77
Northcote,0.44,8.5,14.68,28.14,1204.97,487.35,627
Carrum - Patterson Lakes,0.41,9.07,16.1,38.23,1374.8,478.88,78
Burwood East,0.43,8.27,13.47,28.09,1106.23,471.03,149
Kew,0.43,9.07,16.23,31.69,1305.43,485.25,245
Chelsea - Bonbeach,0.43,8.66,14.5,30.98,1213.06,436.79,214
