SA2_MAIN16,SA2_NAME16,Chinese,French,Italian,Italian Food,Chinese Food,Japanese Food,French Food
206011105,Brunswick,11.36090613,2.359704822,23.58846748,14.24,0.85,7.01,14.98
206011106,Brunswick East,4.72799039,0.883816715,12.15891539,10.65,0.32,9.03,23.87
206011107,Brunswick West,5.706195298,0.87523597,14.80178479,12.5,0,7.14,14.29
206011108,Coburg,7.971511927,1.475888107,38.74206281,16.58,1.55,5.7,19.17
206011109,Pascoe Vale South,2.153766947,0.394714261,19.89016647,24.32,0,8.11,32.43
206021110,Alphington - Fairfield,3.35507122,0.686459585,7.722670328,16.24,0.85,4.27,22.22
206021111,Northcote,7.113437446,1.681825982,18.86047709,14.99,1.28,8.29,15.79
206021112,Thornbury,5.259996568,1.132658315,19.50403295,18.78,2.45,5.31,13.06
206031113,Ascot Vale,6.950403295,0.703621074,12.15033465,12.84,0.92,3.67,23.85
206031114,Essendon - Aberfeldie,8.494937361,1.098335336,36.23648533,15.54,1.99,5.98,20.72
206031115,Flemington,9.859275785,0.454779475,4.333276128,8.65,2.88,6.73,11.54
206031116,Moonee Ponds,4.788055603,0.746524798,20.60236829,12.37,1.06,6.36,19.43
206041117,Carlton,60.58863909,1.038270122,6.564269779,15.74,1.17,8.09,12.66
206041118,Docklands,23.68285567,0.737944054,3.054745152,12.78,1.23,10.57,21.38
206041119,East Melbourne,2.359704822,0.44619873,2.359704822,12.96,6.48,5.35,17.46
206041120,Flemington Racecourse,0.068645958,0,0.060065214,9.78,0,6.52,21.74
206041121,Kensington (Vic.),9.644757165,0.67787884,5.002574223,14.63,2.44,8.94,14.63
206041122,Melbourne,39.9176248,2.042217264,6.72730393,13.63,2.8,8.8,17.38
206041123,North Melbourne,37.2661747,1.269950232,7.791316286,16.12,2.27,4.79,15.87
206041124,Parkville,10.12527887,0.480521709,2.720096104,12.24,2.04,8.16,13.27
206041125,South Yarra - West,3.243521538,0.780847778,2.102282478,10.95,2.19,10.22,17.52
206041126,Southbank,40.84434529,1.330015445,6.26394371,13.83,1.15,7.24,18.22
206041127,West Melbourne,0,0,0,0,11.11,11.11,0
206051128,Albert Park,9.387334821,1.870602368,6.898918826,15.99,1.57,10.34,17.87
206051129,Elwood,2.943195469,2.067959499,7.61970139,18.81,1.49,9.41,12.87
206051130,Port Melbourne,4.582117728,1.630341514,8.246095761,13.41,0,8.54,13.01
206051131,Port Melbourne Industrial,0,0,0.025742234,20.63,0,11.11,14.29
206051132,South Melbourne,8.203192037,1.029689377,4.238887935,13.91,2.34,9.44,17.36
206051133,St Kilda,9.490303758,3.561009096,10.5714776,12.54,0.91,8.72,15.95
206051134,St Kilda East,4.719409645,1.544534066,5.740518277,10.69,1.66,7.13,14.49
206061135,Armadale,3.912819633,1.227046508,3.380813455,16.25,0.63,9.62,23.82
206061136,Prahran - Windsor,8.331903209,2.308220354,7.482409473,14.05,1.34,9.35,17.36
206061137,South Yarra - East,21.67496139,2.368285567,7.525313197,16.27,1.49,11.16,16.19
206061138,Toorak,9.627595675,1.227046508,5.320061781,15.45,0.81,5.69,21.14
206071139,Abbotsford,7.19066415,0.703621074,2.685773125,15.28,1.19,11.54,16.64
206071140,Carlton North - Princes Hill,2.771580573,0.90955895,8.091642355,16.43,0.97,4.83,23.67
206071141,Collingwood,5.251415823,0.67787884,3.166294834,13.46,1.37,9.62,17.17
206071142,Fitzroy,5.877810194,1.089754591,3.844173674,13.07,1.21,9.29,20.05
206071143,Fitzroy North,3.58675133,1.55311481,10.05663292,12.59,0.68,8.5,23.47
206071144,Richmond (Vic.),19.53835593,2.660030891,12.33911103,15.61,1.11,9.95,14.89
206071145,Yarra - North,2.531319719,0.69504033,4.92534752,19.32,2.27,6.82,12.5
207011146,Ashburton (Vic.),7.104856702,0.514844689,3.054745152,16.67,1.59,10.32,15.87
207011147,Balwyn,36.4424232,0.780847778,7.242148619,12.93,1.29,6.9,24.14
207011148,Balwyn North,45.51227047,0.823751502,16.15754247,16.19,0.95,2.86,17.14
207011149,Camberwell,22.18980608,1.827698644,10.76883473,21.44,1.69,9.82,16.79
207011150,Glen Iris - East,14.85326926,1.12407757,7.259310108,12.89,2.06,12.89,12.89
207011151,Hawthorn,19.80435902,1.604599279,9.112750987,15.92,1.46,6.56,20.66
207011152,Hawthorn East,14.87043075,1.175562039,6.324008924,13.62,1.01,8.84,14.93
207011153,Kew,29.09730565,1.647503003,14.08958298,11.02,1.22,10.61,17.55
207011154,Kew East,6.272524455,0.360391282,5.946456152,15.58,3.9,11.69,12.99
207011155,Surrey Hills (West) - Canterbury,18.81757337,1.115496825,6.890338081,12.26,1.89,5.66,17.92
207021156,Bulleen,17.76214175,0.454779475,19.87300498,14.52,1.61,12.9,11.29
207021157,Doncaster,56.86459585,0.532006178,14.05526,18.04,1.53,7.95,12.84
207021159,Templestowe,27.87025914,0.523425433,17.1014244,13.73,0.98,6.86,20.59
207021160,Templestowe Lower,21.93238373,0.44619873,14.42423202,18.75,4.17,6.25,10.42
207021424,Doncaster East (North),40.47537326,0.420456496,11.38664836,10.99,2.2,9.89,18.68
207021425,Doncaster East (South),40.35524284,0.308906813,8.306160975,23.9,1.89,5.03,20.13
